日付,10R_1着,10R_2着,10R_3着,10R_払戻,11R_1着,11R_2着,11R_3着,11R_払戻,12R_1着,12R_2着,12R_3着,12R_払戻,10R_人気,11R_人気,12R_人気,10R_風速,10R_風向,10R_波高,11R_風速,11R_風向,11R_波高,12R_風速,12R_風向,12R_波高
2023-01-01,1,2,4,680,1,2,3,770,1,2,3,400,1,4,1,3,9,2,3,11,2,3,11,2
2023-01-04,1,5,2,1730,1,3,4,960,1,3,6,3780,6,3,13,1,15,1,1,15,1,0,17,1
2023-01-05,1,2,3,860,1,2,4,1070,3,4,2,2660,3,4,12,0,17,1,1,15,1,1,1,1
2023-01-06,1,3,2,720,1,3,6,980,1,6,5,4420,3,5,16,1,1,1,1,15,1,1,1,1
2023-01-07,1,3,2,1230,1,2,3,440,1,5,3,3310,4,1,14,5,9,4,5,11,4,4,11,3
2023-01-09,3,6,5,119530,1,3,5,1550,1,5,2,3670,101,7,15,0,17,1,1,15,1,0,17,1
2023-01-10,4,1,2,1230,1,6,3,4050,1,2,5,640,5,13,2,1,1,1,2,1,1,1,1,1
2023-01-11,1,3,4,710,1,2,3,960,1,2,3,870,3,3,5,2,1,1,0,17,1,0,17,1
2023-01-12,1,4,5,2510,1,2,3,770,1,4,2,3500,9,2,11,1,15,1,1,1,1,1,1,1
2023-01-13,3,6,1,35320,2,3,4,8970,1,4,2,3410,63,26,12,3,3,2,3,3,2,4,3,3
2023-01-15,1,3,2,2480,1,2,3,910,1,2,4,710,11,3,2,3,9,2,3,9,2,3,9,2
2023-01-16,1,3,6,960,1,5,2,1690,2,1,4,1160,4,7,4,3,11,2,2,9,1,1,9,1
2023-01-17,1,3,2,860,1,6,2,2650,1,2,3,470,4,12,1,3,9,2,3,9,2,3,9,2
2023-01-18,3,2,4,10670,1,3,2,840,1,2,3,560,24,3,1,1,11,1,1,1,1,1,1,1
2023-01-19,1,3,5,1000,1,2,5,1990,1,3,4,1050,5,6,4,1,15,1,1,1,1,0,17,1
2023-01-26,1,2,4,1140,3,1,4,1970,2,1,3,2300,5,5,8,1,1,1,1,1,1,0,17,1
2023-01-28,1,3,4,1950,1,5,3,1180,1,3,4,1550,9,5,6,5,11,4,5,9,4,5,7,4
2023-01-29,1,2,6,790,1,2,5,1720,1,3,4,440,2,9,1,1,1,1,1,1,1,1,1,1
2023-01-30,1,2,4,350,1,2,3,320,1,3,5,1230,2,1,5,4,11,3,4,11,3,4,11,3
2023-01-31,1,4,6,6730,1,2,4,600,1,2,5,740,18,2,2,1,15,1,2,3,1,2,3,1
2023-02-06,1,2,5,1330,1,6,4,1990,1,2,3,490,5,8,1,2,3,1,1,3,1,1,3,1
2023-02-07,1,2,4,890,1,3,5,860,1,2,5,5190,3,2,19,1,3,1,1,3,1,2,1,1
2023-02-08,1,3,4,990,1,3,4,1190,5,1,3,17860,4,6,47,2,11,1,1,15,1,1,1,1
2023-02-09,1,2,3,750,1,4,2,1340,1,2,6,2500,2,4,9,0,17,1,1,1,1,2,7,1
2023-02-17,2,3,4,15770,1,2,3,510,1,4,6,1240,32,1,4,1,1,1,3,3,2,2,3,1
2023-02-18,1,3,6,1580,2,1,4,2030,5,3,2,313790,6,7,116,3,3,2,3,3,2,2,3,1
2023-02-19,1,2,4,690,1,4,2,970,1,3,5,2330,2,3,12,4,9,3,4,9,3,4,9,3
2023-02-20,1,3,6,6660,1,2,4,1310,1,2,5,850,18,6,3,5,9,4,3,9,2,3,11,2
2023-03-03,4,1,2,5870,1,2,6,5850,1,4,3,1270,19,18,6,3,11,2,1,11,1,0,17,1
2023-03-04,3,2,1,22300,1,3,4,510,1,3,5,560,41,2,1,5,11,4,4,11,3,4,11,3
2023-03-05,1,3,4,720,4,1,2,8870,1,3,4,2650,2,22,9,4,9,3,4,9,3,4,9,3
2023-03-06,1,2,5,680,1,2,5,300,4,5,1,3690,4,1,12,1,9,1,1,9,1,0,17,1
2023-03-07,1,3,2,1160,1,2,3,690,1,3,2,880,3,1,2,1,7,1,1,15,1,1,15,1
2023-03-08,1,3,6,3940,1,3,4,1470,1,2,4,520,12,6,1,1,15,1,2,15,1,1,15,1
2023-03-10,1,2,3,910,1,2,3,360,1,3,4,1080,3,1,5,3,11,2,1,11,1,1,9,1
2023-03-11,1,4,3,840,6,2,1,19650,2,1,4,1320,4,37,4,1,9,1,1,9,1,1,1,1
2023-03-12,1,2,4,740,1,3,5,1390,1,4,2,1760,2,7,7,6,9,5,6,9,5,6,9,5
2023-03-13,4,5,6,37560,1,2,3,480,1,2,3,1160,48,2,6,4,9,3,5,11,4,4,11,3
2023-03-14,1,3,5,1570,1,2,3,350,1,2,6,680,7,1,2,1,15,1,2,15,1,1,1,1
2023-03-15,2,1,6,14740,1,2,3,410,3,5,1,71360,42,1,60,1,3,1,1,3,1,2,15,1
2023-03-18,1,2,4,340,1,5,3,3800,1,4,3,2560,2,12,10,3,11,2,3,11,2,3,11,2
2023-03-19,1,2,6,580,1,2,3,860,1,3,4,780,2,3,3,1,9,1,3,11,2,2,11,1
2023-03-20,1,3,4,1890,1,5,6,13870,1,2,6,1240,7,25,4,0,17,1,2,3,1,2,15,1
2023-03-21,4,1,5,5910,1,5,2,1860,1,3,6,3560,14,9,13,2,3,1,1,1,1,2,13,1
2023-03-22,1,3,2,880,1,3,2,580,4,5,1,3200,4,2,13,1,11,1,0,17,1,1,3,1
2023-03-23,1,2,4,460,1,4,2,1100,1,4,3,1260,2,4,6,1,7,1,1,9,1,4,11,3
2023-03-26,5,1,3,28260,1,2,6,2680,1,3,2,1100,57,10,3,4,11,3,4,11,3,4,11,3
2023-03-27,1,4,5,2800,1,4,2,770,1,3,5,1570,11,2,7,4,11,3,4,11,3,4,11,3
2023-03-28,3,1,5,3730,1,3,5,1700,1,2,5,2240,13,6,9,4,11,3,3,11,2,3,11,2
2023-03-29,1,2,5,670,1,2,4,630,1,2,5,3050,2,2,13,3,13,2,1,9,1,2,9,1
2023-03-30,1,4,2,1710,1,3,2,610,1,5,3,1660,7,1,10,0,17,1,1,3,1,0,17,1
2023-03-31,1,2,3,860,1,4,3,1260,1,2,4,760,3,6,1,0,17,1,1,15,1,1,15,1
2023-04-04,6,1,4,15240,1,2,4,1120,1,3,4,1200,40,2,4,1,1,1,2,15,1,2,15,1
2023-04-05,1,2,4,850,1,3,2,620,1,6,3,11390,1,1,26,2,1,1,2,1,1,3,15,2
2023-04-06,1,2,4,890,1,3,4,1340,3,5,4,14770,4,6,33,1,5,1,1,5,1,1,1,1
2023-04-07,1,5,2,5350,1,2,3,450,2,1,3,1780,13,1,8,4,9,3,3,9,2,3,9,2
